date,avg_sentiment
00-02-24,0.6156854331493378
00-03-31,0.8642680943012238
00-05-26,0.4867314826697111
00-09-30,1.1846793815493584
01-01-22,1.2604231014847755
01-03-31,1.6228247433900833
01-06-30,-0.003013000423379708
01-09-30,1.3407993130385876
02-03-31,1.1500963941216469
02-04-25,1.4895581640303135
02-09-30,0.16771707450971007
03-02-27,1.344724465161562
03-03-31,0.7586867082864046
03-05-31,1.23285548761487
03-09-30,0.8618107065558434
04-02-26,1.2565759010612965
04-03-31,0.29644507449120283
04-06-30,0.16384964110329747
04-09-30,-0.4798747133463621
05-01-01,-0.30919418204575777
05-02-25,1.5245103277266026
05-06-30,-0.30853396747261286
05-12-31,1.2487600557506084
06-02-27,1.4710386283695698
06-03-31,0.094668660312891
06-05-31,0.9012873284518719
06-09-30,1.209262479096651
07-02-23,0.9888039901852608
07-03-31,1.5131876803934574
07-06-30,0.9333880618214607
07-09-30,1.314167957752943
08-02-28,0.21386530715972185
08-03-30,1.2751524336636066
08-06-29,-0.3098521614447236
08-08-14,1.165200863033533
09-01-01,1.2569860555231571
09-02-26,-0.0890718016307801
09-06-28,1.0204684920608997
09-09-27,1.1288592591881752
10-02-25,0.03379845875315368
10-03-28,1.225515827536583
10-06-27,0.9935567155480385
10-10-21,1.0107412934303284
11-02-24,0.14966586604714394
11-03-27,1.3669831678271294
11-07-27,0.7223148830235004
11-10-27,0.40882183238863945
12-02-23,0.09229419520124793
12-03-25,1.3528014533221722
12-07-25,0.8491521701216698
12-10-25,0.9834897704422474
13-02-28,0.5176332779228687
13-04-24,1.2601164169609547
13-07-24,1.0090450756251812
13-10-24,1.0436395183205605
14-02-14,1.1301055550575256
14-04-23,1.2796885333955288
14-07-23,-0.09387675672769547
14-10-23,1.0952137410640717
15-02-09,0.7710645440965891
15-04-22,0.11025419225916266
15-07-22,0.10195879731327295
15-10-22,1.3175415806472301
16-02-24,1.155080832540989
16-04-27,1.3354870490729809
16-07-20,0.1933604246005416
16-10-27,1.4047814533114433
17-02-09,0.501671340316534
17-04-26,0.30624757055193186
17-07-20,1.257192064076662
17-10-26,1.1914643459022045
18-02-06,0.35798551980406046
18-04-25,0.33035269007086754
18-07-24,0.9950952604413033
18-10-25,1.2782108038663864
19-02-08,0.6511577405035496
19-04-24,0.22406065836548805
19-07-23,1.147504523396492
19-10-24,1.1102610267698765
20-02-07,0.795948039740324
20-04-22,0.14536960516124964
20-07-21,0.08921700646169484
20-10-22,1.0998188517987728
21-01-28,1.2362470850348473
21-04-21,0.19297616090625525
21-07-26,1.1874395422637463
21-10-26,1.0885605588555336
22-01-25,1.1977910064160824
22-04-20,-0.01726763293845579
22-07-19,1.075922604650259
22-10-18,0.8154901675879955
23-01-26,1.2426847591996193
23-04-18,0.12899263529106975
23-07-18,1.304709818214178
23-10-17,0.8536107838153839
24-04-23,0.09947414509952068
24-07-23,1.300742942839861
24-10-22,1.3796653598546982
25-01-28,1.1951392516493797
25-04-22,-0.03275793860666454
25-07-22,0.7583993952721357
25-10-21,1.2778216041624546
95-03-15,0.8536353707313538
95-05-10,0.998449046164751
95-05-26,0.8793181739747524
96-03-31,1.272248663008213
96-05-28,1.1448057368397713
96-08-01,1.3396935537457466
97-02-27,0.8424857631325722
97-03-31,1.7346302047371864
97-10-31,1.5041914768517017
97-12-31,1.3676770962774754
98-03-23,1.2300808914005756
98-09-30,0.527218310162425
99-02-25,0.6025798618793488
99-04-22,1.3578001409769058
99-06-09,0.9690016508102417
99-09-30,0.710946973413229
